38060 2016-11-26 18:49:17,475 ListenUsers.py[line:232] DEBUG:  用户: uid : 6616516; name : 外来的和尚; nickName : ; gender : 1; city : 北京; registDate : 1970/1/1 0:0:0; signinLast : 1047; lastSignin : ; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:17,475 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 6616516 ; 消耗时间：1.369474172592163
38060 2016-11-26 18:49:17,476 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:17,477 HJSpider.py[line:182] INFO:  获取的用户uid为：2286632
37664 2016-11-26 18:49:18,440 ListenUsers.py[line:266] DEBUG:  用户: uid : 6080189; name : 亭芷; nickName : 亭芷; gender : 0; city : 杭州; registDate : 2010/9/25 20:45:00; signinLast : 1206; lastSignin : 1周前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:18,440 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 6080189 ; 消耗时间：1.5361928939819336
37664 2016-11-26 18:49:18,441 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:18,441 HJSpider.py[line:182] INFO:  获取的用户uid为：14376819
37912 2016-11-26 18:49:18,876 ListenUsers.py[line:266] DEBUG:  用户: uid : 4079008; name : 小五卅; nickName : SA(●'◡'●)ﾉ; gender : -1; city : 大连; registDate : 2009/10/17 20:09:00; signinLast : 1600; lastSignin : 1天前; selfIntroduction : [[[书控、颜控、声控、文字控、咖啡控、兔纸控、提琴控、绵羊控、肉食控........٩(๑•̀ᴗ•́๑)۶]]]
37912 2016-11-26 18:49:18,877 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4079008 ; 消耗时间：3.16100811958313
37912 2016-11-26 18:49:18,878 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:18,879 HJSpider.py[line:182] INFO:  获取的用户uid为：4226441
37664 2016-11-26 18:49:19,810 ListenUsers.py[line:266] DEBUG:  用户: uid : 13452951; name : lscenterjp; nickName : ; gender : -1; city : 天津; registDate : 2012/6/22 15:10:00; signinLast : 25; lastSignin : 4年前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:19,811 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 13452951 ; 消耗时间：1.3699290752410889
37664 2016-11-26 18:49:19,811 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:19,811 HJSpider.py[line:182] INFO:  获取的用户uid为：6634273
37912 2016-11-26 18:49:20,252 ListenUsers.py[line:266] DEBUG:  用户: uid : 4814343; name : dayigaku; nickName : ; gender : 0; city : 长沙; registDate : 2010/5/5 15:40:00; signinLast : 466; lastSignin : 2年前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:20,259 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4814343 ; 消耗时间：1.3805339336395264
37912 2016-11-26 18:49:20,260 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:20,260 HJSpider.py[line:182] INFO:  获取的用户uid为：11295111
38060 2016-11-26 18:49:20,524 ListenUsers.py[line:266] DEBUG:  用户: uid : 16078920; name : 花様作死少女; nickName : seraph88; gender : 0; city : 日本; registDate : 2012/11/22 20:00:00; signinLast : 302; lastSignin : 3个月前; selfIntroduction : [[[就只是一株小小的broccoli。。刚刚长大，还未开花。。。求勾搭~]]]
38060 2016-11-26 18:49:20,524 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 16078920 ; 消耗时间：3.047988176345825
38060 2016-11-26 18:49:20,524 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:20,782 HJSpider.py[line:182] INFO:  获取的用户uid为：2724052
37664 2016-11-26 18:49:21,240 ListenUsers.py[line:266] DEBUG:  用户: uid : 8801932; name : 蔡丽娟; nickName : ; gender : -1; city : 漳州; registDate : 2011/5/17 21:56:00; signinLast : 443; lastSignin : 4个月前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:21,240 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 8801932 ; 消耗时间：1.4291810989379883
37664 2016-11-26 18:49:21,240 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:21,240 HJSpider.py[line:182] INFO:  获取的用户uid为：7384067
37912 2016-11-26 18:49:22,305 ListenUsers.py[line:266] DEBUG:  用户: uid : 1963952; name : 森林果子; nickName : ; gender : 0; city : 北京; registDate : 2008/3/15 23:03:00; signinLast : 1070; lastSignin : 1周前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:22,305 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 1963952 ; 消耗时间：2.0452868938446045
37912 2016-11-26 18:49:22,306 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:22,434 HJSpider.py[line:260] INFO:  此次添加 1 个用户
35172 2016-11-26 18:49:22,434 HJSpider.py[line:182] INFO:  获取的用户uid为：5715020
38060 2016-11-26 18:49:23,549 ListenUsers.py[line:266] DEBUG:  用户: uid : 1646158; name : miao3581237; nickName : 澪(miao); gender : -1; city : 深圳; registDate : 2007/9/21 17:45:00; signinLast : 1691; lastSignin : 7个月前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:23,549 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 1646158 ; 消耗时间：3.0244200229644775
38060 2016-11-26 18:49:23,549 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:23,550 HJSpider.py[line:182] INFO:  获取的用户uid为：4428561
